id,settlement_type,climate,moisture,flu,fmg,fi,biomass,flu_min,flu_max,fmg_min,fmg_max,fi_min,fi_max,biomass_min,biomass_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 4.6, 5.5, 6.2. And Source: 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, Ch. 8.3.3.2, p. 8.24."
129,Cultivated soil,Tropical,Wet,0.83,1.1,1,0,0.7387,0.9213,1.045,1.155,N/A,N/A,N/A,N/A,
128,Cultivated soil,Tropical,Moist,0.83,1.1,1,0,0.7387,0.9213,1.045,1.155,N/A,N/A,N/A,N/A,
127,Cultivated soil,Tropical,Dry,0.92,1.04,1,0,0.8004,1.0396,0.9672,1.1128,N/A,N/A,N/A,N/A,
126,Cultivated soil,Warm Temperate,Moist,0.69,1.1,1,0,0.5796,0.8004,1.056,1.144,N/A,N/A,N/A,N/A,
125,Cultivated soil,Warm Temperate,Dry,0.76,1.04,1,0,0.6688,0.8512,1.0088,1.0712,N/A,N/A,N/A,N/A,
124,Cultivated soil,Cool Temperate,Moist,0.7,1.09,1,0,0.616,0.784,1.0464,1.1336,N/A,N/A,N/A,N/A,
123,Cultivated soil,Cool Temperate,Dry,0.77,1.03,1,0,0.6622,0.8778,0.9888,1.0712,N/A,N/A,N/A,N/A,
122,Cultivated soil,Boreal,Moist,0.7,1.09,1,0,0.616,0.784,1.0464,1.1336,N/A,N/A,N/A,N/A,
121,Cultivated soil,Boreal,Dry,0.77,1.03,1,0,0.6622,0.8778,0.9888,1.0712,N/A,N/A,N/A,N/A,
120,Wooded area,Tropical Montane,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
119,Wooded area,Tropical Montane,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
118,Wooded area,Tropical Montane,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
117,Wooded area,Tropical,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
116,Wooded area,Tropical,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
115,Wooded area,Tropical,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
114,Wooded area,Boreal,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
113,Wooded area,Boreal,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
112,Wooded area,Boreal,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
111,Wooded area,Warm Temperate,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
110,Wooded area,Warm Temperate,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
109,Wooded area,Warm Temperate,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
108,Wooded area,Cool Temperate,Wet,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
107,Wooded area,Cool Temperate,Moist,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
106,Wooded area,Cool Temperate,Dry,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
